price,camera,memory,screen_size,resolution
$44,5MP,8GB,"5""",1280 x 720
$134,13MP,16GB,"5""",1280 x 720
$179,8MP,8GB,"5""",1280 x 720
$179,16MP,32GB,"5.2""",1920 x 1080
$199,13MP,64GB,"6.1""",1560 x 720
$199,13MP,16GB,"5.71""",1520 x 720
$199,13MP,32GB,"5.5""",1440 x 720
$229,13MP,32GB,"6.26""",1520 x 720
$239,13MP,64GB,"6.2""",1520 x 720
$249,13MP,64GB,"6.35""",1544 x 720
$249,13MP,32GB,"5.5""",1920 x 1080
$249,13MP,32GB,"6.26""",1520 x 720
$279,13MP,32GB,"6.4""",1560 x 720
$279,13MP,64GB,"6.2""",1520 x 720
$279,13MP,32GB,"5.5""",2160 x 1080
$299,13MP,64GB,"6.2""",1520 x 720
$299,13MP,32GB,"5.71""",1520 x 720
$299,12MP,64GB,"5.7""",2560 x 1440
$299,13MP,128GB,"6.35""",1544 x 720
$299,16MP,32GB,"5.5""",1920 x 1080
$299,16MP,64GB,"6.26""",1520 x 720
$299,16MP,64GB,"6.52""",1600 x 720
$299,12.3MP,32GB,"5.2""",1920 x 1080
$349,16MP,128GB,"6.59""",2340 x 1080
$379,16MP,32GB,"6.4""",1920 x 1080
$379,16MP,32GB,"5.7""",1920 x 1080
$399,48MP,128GB,"6.5""",2340 x 1080
$399,16MP,128GB,"6.3""",2340 x 1080
$399,16MP,128GB,"6.3""",2340 x 1080
$399,16MP,64GB,"6.3""",2280 x 1080
$399,48MP,128GB,"6.3""",2520 x 1080
$399,24MP,128GB,"6.15""",2312 x 1080
$399,12MP,32GB,"5.2""",1920 x 1080
$399,16MP,128GB,"6.38""",2340 x 1080
$399,48MP,128GB,"6.088""",1560 x 720
$399,12.3MP,128GB,"5""",1920 x 1080
$399,16MP,32GB,"5.1""",2560 x 1440
$449,48MP,128GB,"6.4""",2340 x 1080
$449,12MP,32GB,"5.84""",2280 x 1080
$499,12MP,32GB,"4.7""",1334 x 750
$499,25MP,64GB,"6.4""",2340 x 1080
$499,48MP,128GB,"5.52""",2340 x 1080
$499,12MP,64GB,"6.18""",2280 x 1080
$499,20MP,128GB,"5.5""",2560 x 1440
$499,12.3MP,128GB,"5.5""",2560 x 1440
$499,23MP,32GB,"5.5""",3840 x 2160
$499,13MP,64GB,"5.7""",2880 x 1440
$549,48MP,128GB,"6.3""",2280 x 1080
$549,16MP,32GB,"5.6""",2220 x 1080
$599,12MP,128GB,"4.7""",1334 x 750
$599,48MP,128GB,"6.5""",2340 x 1080
$599,48MP,128GB,"6.26""",2340 x 1080
$599,48MP,128GB,"6.4""",2340 x 1080
$599,20MP,128GB,"6.4""",2340 x 1080
$649,32MP,128GB,"6.7""",2400 x 1080
$649,12.2MP,64GB,"5.6""",2220 x 1080
$699,12MP,128GB,"5.99""",2880 x 1440
$699,12MP,128GB,"6.39""",2340 x 1080
$699,20MP,256GB,"6.4""",2340 x 1080
$699,12MP,128GB,"6.4""",3120 x 1400
$699,12MP,32GB,"3.3""",1280 x 720
$779,12MP,64GB,"4.7""",1334 x 750
$799,12MP,64GB,"6.2""",2960 x 1440
$799,12MP,128GB,"5.5""",1920 x 1080
$799,13MP,32GB,"4.5""",1620 x 1080
$859,12MP,128GB,"4.7""",1334 x 750
$879,12.2MP,128GB,"5.5""",2160 x 1080
$899,40MP,128GB,"6.1""",2340 x 1080
$899,12MP,256GB,"5.8""",2960 x 1400
$899,12.2MP,64GB,"6.3""",2960 x 1440
$999,12MP,64GB,"5.8""",2436 x 1125
$999,16MP,128GB,"5.8""",2280 x 1080
$999,48MP,128GB,"6.7""",2400 x 1080
$999,12MP,256GB,"6.2""",2960 x 1440
$999,12.2MP,128GB,"6.3""",2960 x 1440
$1049,16MP,64GB,"5.7""",2280 x 1080
$1049,12MP,64GB,"6.1""",1792 x 868
$1129,12MP,128GB,"6.1""",1792 x 868
$1149,12MP,256GB,"5.8""",2436 x 1125
$1199,12MP,64GB,"6.1""",1792 x 828
$1199,16MP,128GB,"6.4""",3040 x 1440
$1199,40MP,256GB,"6.47""",2340 x 1080
$1199,16MP,128GB,"5.7""",2280 x 1080
$1199,16MP,512GB,"6.1""",3040 x 1440
$1249,12MP,64GB,"6.5""",2688 x 1242
$1279,12MP,128GB,"6.1""",1792 x 828
$1279,16MP,64GB,"6.3""",3040 x 1440
$1349,12MP,512GB,"5.8""",2436 x 1125
$1399,12MP,256GB,"6.5""",2688 x 1242
$1429,16MP,128GB,"6.3""",3040 x 1440
$1449,12MP,256GB,"6.1""",1792 x 828
$1599,16MP,512GB,"6.4""",3040 x 1440
$1699,12MP,256GB,"6.8""",3040 x 1440
$1699,16MP,1000GB,"6.4""",3040 x 1440
$1749,12MP,64GB,"5.8""",2436 x 1125
$1899,12MP,64GB,"6.5""",2688 x 1242
$1999,12MP,256GB,"5.8""",2436 x 1125
$1999,12MP,512GB,"6.8""",3040 x 1440
$2149,12MP,256GB,"6.5""",2688 x 1242
$2349,12MP,512GB,"5.8""",2436 x 1125
$2499,12MP,512GB,"6.5""",2688 x 1242
